Package Name                                                            | Version      | ID  | Bundle Name
org.eclipse.jdt.internal.compiler.impl                                  | 0.0.0        | 124 | org.eclipse.jdt.core.compiler.batch
org.eclipse.jdt.internal.compiler.lookup                                | 0.0.0        | 124 | org.eclipse.jdt.core.compiler.batch
org.eclipse.jdt.internal.compiler.parser.diagnose                       | 0.0.0        | 124 | org.eclipse.jdt.core.compiler.batch
org.eclipse.jdt.internal.compiler.parser                                | 0.0.0        | 124 | org.eclipse.jdt.core.compiler.batch
org.eclipse.jdt.internal.compiler.problem                               | 0.0.0        | 124 | org.eclipse.jdt.core.compiler.batch
org.eclipse.jdt.internal.compiler.tool                                  | 0.0.0        | 124 | org.eclipse.jdt.core.compiler.batch
org.eclipse.jdt.internal.compiler.util                                  | 0.0.0        | 124 | org.eclipse.jdt.core.compiler.batch
org.eclipse.jdt.internal.compiler                                       | 0.0.0        | 124 | org.eclipse.jdt.core.compiler.batch
org.eclipse.jetty.client.api                                            | 9.4.20       | 125 | org.eclipse.jetty.client
org.eclipse.jetty.client.http                                           | 9.4.20       | 125 | org.eclipse.jetty.client
org.eclipse.jetty.client.jmx                                            | 9.4.20       | 125 | org.eclipse.jetty.client
org.eclipse.jetty.client.util                                           | 9.4.20       | 125 | org.eclipse.jetty.client
org.eclipse.jetty.client                                                | 9.4.20       | 125 | org.eclipse.jetty.client
org.eclipse.jetty.continuation                                          | 9.4.20       | 126 | org.eclipse.jetty.continuation
